Date,AUT_BAJAJ-AUTO.NS,AUT_EICHERMOT.NS,AUT_HEROMOTOCO.NS,AUT_M&M.NS,AUT_MARUTI.NS,AUT_TATAMOTORS.NS,CAP_BEL.NS,CND_ASIANPAINT.NS,CND_TITAN.NS,CON_GRASIM.NS,CON_ULTRACEMCO.NS,CSR_TRENT.NS,CST_LT.NS,FIN_AXISBANK.NS,FIN_BAJAJFINSV.NS,FIN_BAJFINANCE.NS,FIN_HDFCBANK.NS,FIN_ICICIBANK.NS,FIN_INDUSINDBK.NS,FIN_KOTAKBANK.NS,FIN_SBIN.NS,FIN_SHRIRAMFIN.NS,FMCG_HINDUNILVR.NS,FMCG_ITC.NS,FMCG_NESTLEIND.NS,FMCG_TATACONSUM.NS,HEA_APOLLOHOSP.NS,HEA_CIPLA.NS,HEA_DRREDDY.NS,HEA_SUNPHARMA.NS,IT_HCLTECH.NS,IT_INFY.NS,IT_TCS.NS,IT_TECHM.NS,IT_WIPRO.NS,MET_ADANIENT.NS,MET_HINDALCO.NS,MET_JSWSTEEL.NS,MET_TATASTEEL.NS,OIL_COALINDIA.NS,OIL_ONGC.NS,OIL_RELIANCE.NS,POW_NTPC.NS,POW_POWERGRID.NS,SER_ADANIPORTS.NS,TEL_BHARTIARTL.NS
2019-07-09,2338.683837890625,1672.7476806640625,1992.685791015625,591.3294677734375,5630.1376953125,154.83811950683594,31.502716064453125,1267.556640625,1063.7305908203125,880.0206909179688,4379.85791015625,437.9240417480469,1375.1630859375,782.7893676757812,783.462890625,3536.900390625,1139.4306640625,412.19952392578125,1433.3504638671875,1457.6578369140625,338.3773498535156,198.12466430664062,1599.6884765625,219.905517578125,1096.320556640625,253.58261108398438,1302.7811279296875,525.4447021484375,502.7644348144531,362.4758605957031,428.378662109375,622.1549682617188,1930.389404296875,564.2615356445312,128.52520751953125,139.35218811035156,190.1039581298828,243.86297607421875,18.84573745727539,135.37716674804688,107.64503479003906,575.8660278320312,96.07659149169922,83.59781646728516,390.5295715332031,349.2234191894531
2019-07-10,2300.074951171875,1647.47900390625,1956.731201171875,581.0020141601562,5613.51806640625,150.71372985839844,30.475610733032227,1269.4278564453125,1065.908447265625,882.435791015625,4373.5126953125,431.0861511230469,1350.796630859375,765.912841796875,763.7950439453125,3366.04833984375,1144.0283203125,414.50823974609375,1428.69140625,1470.611572265625,333.3887634277344,194.6983184814453,1579.7872314453125,219.94573974609375,1083.5067138671875,242.13267517089844,1292.4854736328125,521.758544921875,500.01727294921875,367.916748046875,427.60235595703125,623.6766357421875,1907.631591796875,563.3848266601562,129.2271270751953,137.57513427734375,186.02137756347656,236.93792724609375,18.296598434448242,137.5882568359375,106.4170150756836,575.3037719726562,95.70578002929688,83.82237243652344,390.5295715332031,345.6087951660156
2019-07-11,2326.93408203125,1672.3568115234375,2044.620849609375,592.6847534179688,5711.34033203125,155.83193969726562,31.34130859375,1278.5433349609375,1061.843017578125,888.038818359375,4430.51611328125,445.3565979003906,1346.878173828125,763.0751953125,762.79736328125,3393.581787109375,1152.8404541015625,410.32366943359375,1480.5650634765625,1479.679443359375,341.8599548339844,196.4585723876953,1591.0938720703125,221.95883178710938,1079.4119873046875,246.2700653076172,1289.691162109375,528.8916015625,513.2496948242188,373.498291015625,428.3996276855469,627.3721313476562,1902.519287109375,555.7462158203125,129.61439514160156,139.2041015625,190.63229370117188,248.46412658691406,18.58625602722168,138.50213623046875,107.43453979492188,576.518310546875,95.63159942626953,85.16972351074219,398.14727783203125,347.7293701171875
2019-07-12,2336.244384765625,1665.4290771484375,2095.169921875,590.5817260742188,5654.7587890625,158.31649780273438,31.121212005615234,1306.8502197265625,1065.908447265625,884.9474487304688,4456.6259765625,449.46917724609375,1321.3404541015625,752.521240234375,770.7787475585938,3321.25634765625,1146.4947509765625,410.8047180175781,1450.065185546875,1479.180908203125,342.2364501953125,196.94802856445312,1574.823486328125,221.4756622314453,1094.9227294921875,248.1944122314453,1336.70751953125,533.104248046875,508.5196838378906,382.45703125,429.7006530761719,631.937255859375,1907.0889892578125,555.8296508789062,125.35444641113281,138.51303100585938,191.01654052734375,249.0218505859375,19.024761199951172,136.35003662109375,105.04863739013672,576.0460205078125,94.77874755859375,84.39396667480469,400.4614562988281,343.2472229003906
2019-07-15,2328.907470703125,1654.75830078125,2075.399169921875,590.5350341796875,5757.2685546875,159.95631408691406,30.18214988708496,1298.40576171875,1054.4866943359375,890.9853515625,4487.03076171875,442.0367126464844,1297.6944580078125,746.4974975585938,769.6564331054688,3355.2802734375,1146.9019775390625,406.2353820800781,1417.0196533203125,1503.5572509765625,338.8949890136719,199.18833923339844,1578.2703857421875,218.17428588867188,1077.3154296875,244.6824493408203,1358.7203369140625,527.1202392578125,512.2235717773438,396.76287841796875,431.21148681640625,677.6749877929688,1941.564453125,565.93115234375,125.8143081665039,136.19296264648438,192.26531982421875,251.85696411132812,18.839702606201172,135.848876953125,105.75038146972656,574.066650390625,94.88999938964844,83.67945861816406,394.4830627441406,337.9457092285156
2019-07-16,2344.73974609375,1672.9805908203125,2100.830078125,582.1702880859375,5831.46240234375,168.950439453125,30.2408447265625,1316.78125,1079.0244140625,898.9068603515625,4490.837890625,441.6899108886719,1316.250732421875,757.7484741210938,786.3425903320312,3391.27099609375,1145.2017822265625,408.4479064941406,1415.1944580078125,1496.92724609375,342.9423828125,204.10191345214844,1600.65380859375,218.97952270507812,1098.3466796875,249.73388671875,1363.132568359375,529.9926147460938,521.7560424804688,406.4720153808594,427.91705322265625,682.4573974609375,1910.0916748046875,564.3032836914062,125.86272430419922,138.3649139404297,191.25668334960938,254.5990447998047,19.17763328552246,137.2639617919922,106.83805847167969,581.669189453125,97.1148452758789,85.2922134399414,402.823974609375,338.0903015136719
2019-07-17,2314.23388671875,1619.6007080078125,2109.693603515625,577.5438842773438,5753.48046875,166.8634033203125,30.314205169677734,1339.426513671875,1074.3297119140625,895.2359008789062,4498.6953125,445.15838623046875,1311.0711669921875,749.3350830078125,783.6339111328125,3405.6279296875,1148.1949462890625,408.5440979003906,1442.1400146484375,1529.9774169921875,350.5194091796875,204.10191345214844,1618.48681640625,219.74447631835938,1097.103759765625,247.28033447265625,1356.857421875,533.8223876953125,519.7677612304688,403.4232177734375,436.77215576171875,690.544189453125,1920.295654296875,576.7003784179688,125.66908264160156,136.2917022705078,195.43531799316406,252.73997497558594,19.137405395507812,135.613037109375,105.18899536132812,576.6533203125,95.74286651611328,84.92473602294922,402.14898681640625,333.7527160644531
2019-07-18,2257.512939453125,1617.1669921875,2073.31884765625,566.1248168945312,5570.384765625,159.75755310058594,28.33336639404297,1328.9195556640625,1045.3878173828125,876.8809814453125,4491.6669921875,446.0007019042969,1292.8302001953125,737.1880493164062,782.9454956054688,3409.905517578125,1155.115234375,402.7242736816406,1413.5133056640625,1533.616455078125,342.2834777832031,197.861083984375,1598.677490234375,219.8249969482422,1087.849853515625,245.45220947265625,1361.0245361328125,523.7213134765625,517.672119140625,399.8116455078125,427.4554138183594,689.2833862304688,1873.767333984375,573.6949462890625,130.26792907714844,132.49069213867188,192.64956665039062,247.3487091064453,18.771310806274414,129.8936767578125,100.62776184082031,567.6560668945312,94.22254180908203,83.84276580810547,397.6651306152344,330.1380920410156
2019-07-19,2195.257080078125,1551.974365234375,1996.346923828125,541.39111328125,5463.140625,153.89398193359375,28.92027473449707,1313.710693359375,1056.0838623046875,850.0732421875,4414.751953125,437.45343017578125,1271.5260009765625,726.0863647460938,754.8807373046875,3267.762451171875,1137.75439453125,394.69183349609375,1366.154541015625,1494.385009765625,335.0829772949219,199.85665893554688,1581.4417724609375,216.04046630859375,1083.1876220703125,239.43858337402344,1346.7088623046875,513.8596801757812,509.4066162109375,395.2619323730469,426.2174072265625,682.935791015625,1883.744384765625,563.5518188476562,128.13795471191406,129.7263946533203,188.27880859375,240.79547119140625,18.42734718322754,130.83706665039062,100.97863006591797,561.8754272460938,96.33615112304688,83.98567962646484,391.01165771484375,327.6800842285156
2019-07-22,2199.247314453125,1499.96044921875,2009.9766845703125,535.326171875,5598.935546875,155.78224182128906,29.492521286010742,1347.390869140625,1050.760009765625,861.8590087890625,4474.43994140625,422.843505859375,1264.4549560546875,724.2942504882812,714.5844116210938,3192.53662109375,1100.2069091796875,396.8133850097656,1362.5523681640625,1449.91943359375,330.235595703125,195.46080017089844,1544.9483642578125,212.90008544921875,1060.453857421875,242.08457946777344,1338.0804443359375,508.35443115234375,513.1787719726562,403.61090087890625,427.6232604980469,682.0662231445312,1913.629150390625,560.9638061523438,128.18634033203125,129.97320556640625,194.42669677734375,245.7684783935547,18.72907257080078,130.5422821044922,102.90837860107422,576.0460205078125,97.04069519042969,83.33241271972656,392.65093994140625,330.1863098144531
